Departamento,Municipio,Estado,Topografia,Drenaje,Materia orgánica (MO) %,Acidez (Al+H) KCL cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Zinc (Zn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,Produccion,Rendimiento
15.0,15842.0,3.0,10.0,21.0,4.0533665555603005,3.527001207857603,0.59,0.14,1.3234994913530007,5.220000000000001,1.0,0.1508866975904982,0.0,0.0,0.0
54.0,54223.0,3.0,11.0,21.0,1.238006886406552,0.4566572709136202,2.8873672100000003,0.17214631,1.61,9.862,1.7480000000000002,0.4339395423836059,25.0,375.0,15.0
50.0,50568.0,2.0,11.0,20.0,2.740471889523576,0.990811217,1.80336,0.04896,2.4,9.89,1.132,0.1210903970966916,0.0,0.0,0.0
25.0,25518.0,3.0,9.0,20.0,9.035919842929507,1.8587884539305588,1.00820157,0.12583235,1.0,1.104,1.0,0.19795509,240.0,3.6,15.0
5.0,5250.0,2.0,9.0,20.0,2.6494621896053765,5.082831937270227,1.2352486234817814,0.14,2.8512145748987856,5.939271255060729,1.0,0.1240374692387076,1.2,18.0,15.0
52.0,52227.0,2.0,11.0,23.0,11.81,2.07,1.03,0.14,3.09,6.24,3.25,0.09,32.0,40.0,8.0
19.0,19533.0,2.0,10.0,23.0,1.56,9.26,0.6,0.14,1.0,1.74,1.0,0.06,10.0,83.0,8.3
15.0,15185.0,2.0,10.0,20.0,8.572742271528266,4.253814887401625,6.852982010000001,0.25080349,1.0,2.7950000000000004,2.406,0.1389915753837773,0.0,0.0,0.0
86.0,86865.0,2.0,11.0,20.0,4.01,2.07,0.85,0.14,2.42,8.68,2.27,0.19,140.0,910.0,6.5
5.0,5837.0,3.0,18.0,20.0,1.65,0.19,4.77,0.17,1.47,10.35,1.0,0.1,173.0,1.952,11.28
8.0,8141.0,3.0,9.0,21.0,1.2157613109427092,0.7404051785923963,25.39557848390448,1.4190538836967812,5.358255451713398,27.55970924195224,2.535825545171341,0.1765411687900449,0.0,0.0,0.0
25.0,25885.0,2.0,11.0,20.0,5.1458526858921685,5.307316777766411,1.28421363,0.05396916,4.2330000000000005,1.973,3.147,0.2184889784491378,0.0,0.0,0.0
5.0,5001.0,2.0,10.0,20.0,3.749226958641548,3.663072066680628,0.55536,0.04352,3.0,0.5,0.5,0.085609914,0.0,0.0,0.0
25.0,11001.0,3.0,10.0,21.0,14.501833645994772,7.711948248651597,2.317697462526767,0.14,4.285867237687366,6.475374732334048,4.408993576017132,0.2498112054531814,0.0,0.0,0.0
76.0,76306.0,2.0,10.0,20.0,12.73771507638901,0.5169904033756804,5.934108635235731,0.14,5.272952853598014,15.967741935483868,2.6178660049627784,0.1002288233898308,101.0,1.032,12.0
50.0,50683.0,2.0,11.0,20.0,3.4387875059703923,1.8349642079743604,0.312,0.02176,2.455,2.2,1.0,0.1800101355893638,320.0,6.4,20.0
76.0,76306.0,2.0,10.0,20.0,15.159112571214704,0.6406313055962983,2.22768,0.07072,4.6000000000000005,5.8,1.7999999999999998,0.1105878052005631,101.0,1.032,12.0
76.0,76364.0,3.0,9.0,20.0,5.667081350970547,1.8959185685390465,5.87808,0.04352,8.0,27.0,2.5,0.052047069,0.0,0.0,0.0
18.0,18256.0,3.0,16.0,20.0,1.1155868098665347,2.9854850571738667,0.59,0.14,1.0,5.864000000000001,1.0,0.045634921,0.0,0.0,0.0
18.0,18753.0,2.0,16.0,20.0,1.84,3.781810062812318,0.59,0.14,1.0,1.14,1.0,0.1958333333333333,0.0,0.0,0.0
52.0,52835.0,2.0,9.0,20.0,12.022175413838882,2.1599989506761186,0.061152,0.04352,4.4,6.1,0.6,0.138196121,0.0,0.0,0.0
25.0,19397.0,3.0,9.0,20.0,4.188186720877613,0.3018465292381062,1.3097450578338596,0.14,1.0,2.797055730809676,1.0820189274447956,0.172461608,12.0,156.0,13.0
25.0,25394.0,3.0,10.0,20.0,5.80595486,0.2286815128660572,7.945721880000001,0.08679083,3.711,5.143,11.568,0.3458430285885317,120.0,1.8,15.0
25.0,25398.0,3.0,9.0,20.0,9.119293177840325,0.1779387070676159,19.44018593,0.16755319,7.379,14.217,119.548,0.4128864476872346,90.0,1.08,12.0
15.0,15667.0,3.0,10.0,20.0,1.322758432011938,6.687531116851808,1.31352756,0.1106176399999999,1.117,9.644,1.0,0.1855992844364937,0.0,0.0,0.0
25.0,25154.0,2.0,9.0,20.0,23.870311164660627,2.519811379261043,1.500802067,0.176054508,1.5,5.8,0.5,0.1666406878107207,7.0,84.0,12.0
68.0,68498.0,2.0,11.0,21.0,3.745432876878034,3.614225295762212,4.35800426,0.13788929,1.174,1.0,1.2970000000000002,0.1878653928418651,25.0,500.0,20.0
20.0,20001.0,3.0,10.0,20.0,4.707625206586687,0.6879760749845616,2.1861384800000003,0.19989641,1.0,19.481,2.457,0.3504901960784313,260.0,2.136,8.22
76.0,76306.0,2.0,10.0,20.0,6.316785050679538,0.4307656972562735,5.0544,0.04352,1.9,8.4,6.5,0.2464498504580458,101.0,1.032,12.0
25.0,25743.0,2.0,11.0,20.0,9.116525646041842,1.4411589361225798,3.370759717573221,0.14,6.321129707112968,5.839958158995815,13.78451882845188,0.2724964650734806,315.0,1.14,12.0
19.0,19256.0,2.0,10.0,20.0,6.995021449896656,0.672000832,2.1777944400000004,0.14,2.998,5.363,2.246,0.023364486,3.2,48.0,15.0
5.0,5649.0,3.0,9.0,20.0,3.2842419847593947,1.3311200501460163,4.01,0.14,1.0,3.137718396711201,1.0,0.089605063,20.0,360.0,18.0
18.0,18247.0,2.0,11.0,21.0,1.06,4.01,0.61,0.14,1.03,3.22,1.0,0.1333333333333333,0.0,0.0,0.0
25.0,25489.0,2.0,10.0,20.0,2.638418688619785,0.4930846567989382,2.8446589000000007,0.08305892,3.029,4.951,1.25,0.2068725603585369,30.0,300.0,10.0
15.0,15469.0,2.0,10.0,20.0,7.651148575682853,3.5470086607885576,0.5762877100000001,0.26286043,1.0,2.222,1.122,0.3531845460607408,0.0,0.0,0.0
41.0,41132.0,3.0,16.0,21.0,1.35,0.26,2.31,0.14,1.0,2.02,1.0,0.02,150.0,825.0,5.5
19.0,19533.0,3.0,10.0,21.0,1.26,2.18,0.66,0.14,1.0,4.57,1.0,0.04,10.0,83.0,8.3
41.0,41359.0,3.0,9.0,21.0,25.176343175755783,1.057626357474416,2.808,0.03808,1.2,4.5,1.5,0.053278906,280.0,1.68,6.0
20.0,20570.0,2.0,10.0,20.0,2.0163233962913987,0.5158340284754763,3.04798998,0.1484151899999999,1.704,8.963,1.0,0.1649076517150395,420.0,2.529,6.03
15.0,15816.0,2.0,11.0,23.0,8.184671898543872,5.253590900094351,0.49262773,0.1479367399999999,1.0,1.985,1.624,0.2073196708446377,0.0,0.0,0.0
54.0,54051.0,3.0,10.0,20.0,2.6275801525485063,2.125450837133067,1.207913832823649,0.14,1.0,4.007135575942915,1.0,0.2403639363010266,120.0,1.8,15.0
76.0,76828.0,2.0,10.0,20.0,10.963840583626286,0.977414706,2.531206563573883,0.14,3.8407789232531497,12.767468499427263,2.1397479954180985,0.1107490446004726,15.0,225.0,15.0
25.0,25823.0,2.0,10.0,20.0,3.0917262330647155,7.878384774788249,4.01,0.039210944,4.428,0.3259999999999999,1.855,0.2141073179047862,0.0,0.0,0.0
50.0,50577.0,3.0,11.0,20.0,1.0330298285471005,1.947522255119825,1.1719444186046513,0.14,1.543983822042467,30.195146612740142,1.4853387259858444,0.00579772,1.0,18.0,18.0
54.0,54206.0,3.0,10.0,20.0,2.05,4.073179727,0.81,0.14,1.255,4.294,1.388,0.15,0.0,0.0,0.0
50.0,50001.0,3.0,11.0,20.0,2.946302642448876,1.2422080572041376,1.16064,0.07072,4.2330000000000005,4.623,3.157,0.2071999937200229,100.0,2.55,25.5
52.0,52227.0,2.0,11.0,23.0,16.79,4.04,0.59,0.14,3.87,8.16,3.88,0.15,32.0,40.0,8.0
5.0,5667.0,3.0,10.0,20.0,4.016004907661062,0.4970612078399822,2.1754357258064525,0.14,3.316532258064517,13.597,2.475806451612904,0.087188447,42.0,305.0,7.26
25.0,25317.0,2.0,11.0,20.0,5.832551923958195,0.5851533794094012,5.3022795490000005,0.100120685,3.455,12.525,8.365,0.3552451074027124,0.0,0.0,0.0
5.0,5660.0,2.0,10.0,20.0,1.0062816708692508,2.0697535175525585,0.59,0.14,1.0,1.0,1.0,0.066929134,20.0,160.0,8.0
85.0,85225.0,3.0,11.0,21.0,4.188379695515187,5.037978092,2.9434766632443536,0.1846011396303901,6.343942505133471,68.904,9.8275154,0.1122181488167718,0.0,0.0,0.0
54.0,54223.0,2.0,11.0,20.0,1.0921163420836684,1.3324477227530294,0.28402673,0.02076473,1.0,1.95,1.0,0.1270974020229424,25.0,375.0,15.0
68.0,68770.0,2.0,10.0,20.0,7.555199963838133,4.936709027668687,0.7892493435897437,0.14,1.0,2.074,1.5282051282051283,0.8991762385427546,600.0,6.0,10.0
50.0,50683.0,2.0,11.0,20.0,3.848523561116948,2.758046047461461,0.1872,0.08704,15.5,9.760606060606058,3.357,0.1047006480317245,320.0,6.4,20.0
50.0,50683.0,2.0,11.0,20.0,2.251581563881876,4.284134111824185,1.86576,0.0272,5.1,2.48,1.855,0.1133879238382955,320.0,6.4,20.0
50.0,50711.0,3.0,16.0,20.0,2.227954838140602,3.9301789447867392,0.6516036500000001,0.14,1.368,6.231999999999999,1.0,0.2313677313677313,0.0,0.0,0.0
54.0,54720.0,2.0,10.0,23.0,1.25,4.99,1.99,0.14,1.44,9.22,1.08,0.09,1.18,17.621,15.0
5.0,5425.0,2.0,9.0,20.0,2.315734544391276,3.185676907736534,0.8300521629778673,0.14,1.0,1.5653923541247483,1.0,0.072591747,110.0,1.65,15.0
5.0,5197.0,3.0,10.0,20.0,3.99,1.9962339588850164,0.59,0.16,1.0,4.88,1.0,0.2375,0.0,0.0,0.0
25.0,25491.0,2.0,9.0,20.0,5.627241008827131,2.9934523569101072,1.1323740600000003,0.14,1.233,2.588,4.971,0.088042588,3.0,45.0,15.0
5.0,5607.0,3.0,10.0,20.0,2.9109638802984383,0.9216904660435956,0.49120046,0.084702163,1.347,1.0,1.0,0.1114529313527292,12.0,120.0,10.0
25.0,25823.0,3.0,10.0,20.0,5.500006370037243,7.925383737637987,0.93519122,0.14755398,1.947,1.208,1.898,0.22172206,0.0,0.0,0.0
50.0,50573.0,3.0,11.0,20.0,0.844332057,0.4203563582629889,1.7058072300000002,0.14,2.19,20.482,1.847,0.092398884,0.0,0.0,0.0
50.0,50568.0,2.0,11.0,20.0,2.3389711627049934,1.109708563188216,1.52256,0.04896,3.7,26.696878147029203,4.774,0.1022670802776815,0.0,0.0,0.0
50.0,50450.0,3.0,11.0,21.0,3.597444824462646,4.01,1.50115867,0.14,2.866,7.425000000000001,1.131,0.1522140221402214,550.0,9.9,18.0
5.0,5364.0,2.0,10.0,20.0,10.77938637377823,2.701372147150017,2.5196805,0.14,12.439,34.414,26.543,0.3245686113393591,0.0,0.0,0.0
25.0,25662.0,2.0,10.0,21.0,2.7047044555702366,5.933794848538202,2.2430097000000004,0.14,2.335,8.138,2.298,0.1669634906500445,45.0,585.0,13.0
50.0,47318.0,2.0,11.0,21.0,1.951428573,2.480549704030392,0.59,0.14,2.2601214574898787,3.241902834008097,1.5870445344129556,0.1154794773419506,8.0,96.0,12.0
25.0,25394.0,2.0,9.0,20.0,3.9491674962760817,2.058133615794515,6.35651163,0.16516094,2.8310000000000004,6.334999999999999,11.739,0.2010176397323626,120.0,1.8,15.0
