Departamento,Municipio,"pH agua:suelo 2,5:1,0",Materia orgánica (MO) %,Azufre (S) Fosfato monocalcico mg/kg,Acidez (Al+H) KCL cmol(+)/kg,Calcio (Ca) intercambiable cmol(+)/kg,Sodio (Na) intercambiable cmol(+)/kg,"Conductividad el‚ctrica (CE) relacion 2,5:1,0 dS/m",Hierro (Fe) disponible olsen mg/kg,Cobre (Cu) disponible mg/kg,Manganeso (Mn) disponible Olsen mg/kg,Boro (B) disponible mg/kg,AS,AC,Produccion,Rendimiento,T_max,T_pro,P_max,Cultivo
85,85001,5.4,1.947189211,3.058659218,0.957977481,2.67217881,0.17348597,0.1437248,311.63,1,5.076,0.315691736,380,380,3.04,8,34,26,16,Pastos
68,68307,4.61,1.557982177,2.360335196,3.989818302,1.33548556,0.1205694,0.1305148,386.221,1,1,0.17641597,0,0,0,0,41,29,12,Aguacate
15,15403,5.25,2.552423213,3.477653631,1.789111375,2.03638492,0.14,0.1712016,420.904,1.644,8.265,0.338904364,0,0,0,0,0,0,0,Frutales
15,15403,5.05,4.401346917,4.455307263,2.115427286,3.66072797,0.11042626,0.2678988,946.722,1.015,13.901,0.17641597,0,0,0,0,0,0,0,Frutales
15,15403,5.18,5.697803379,3.198324022,1.192740917,4.5595787,0.12583235,0.3941864,892.893,1.601,7.505,0.147783251,0,0,0,0,0,0,0,Frutales
15,15189,5.44,8.072184815,2.779329609,3.251906839,4.57330245,0.13721946,0.1405544,1309.497,1,4.819,0.199628598,0,0,0,0,0,0,0,Frutales
15,15599,4.42,14.91666465,14.09217877,6.661345497,1.53179008,0.12870305,0.5796548,892.605,1,3.374,0.246053853,0,0,0,0,0,0,0,Frutales
15,15599,5.21,5.064307608,5.153631285,3.690745478,3.85132341,0.15683591,0.19815,517.847,2.598,5.544,0.17641597,0,0,0,0,0,0,0,Frutales
50,50606,4.68,1.786335304,6.55027933,3.634484114,1.18309704,0.1377936,0.0787316,494.886,1.564,2.163,0.222841226,51,51,1.02,20,31,22,18,Frutales
25,25438,4.76,3.4609249,2.779329609,2.599275017,1.41651058,0.3932859,0.4195496,445.511,2.972,9.746,0.17641597,100,100,1,10,33,25,5,Pastos
15,15804,5.08,9.218861269,7.248603352,3.566970477,2.47334912,0.15654884,0.2462344,1298.829,1,2.943,0.153203343,0,0,0,0,0,0,0,Frutales
76,76001,4.58,5.541903849,17.58379888,1.787787027,1.73841486,0.10640728,0.5669732,247.852,1.495,6.142,0.163442295,3,3,90,30,29,16,20,Frutales
5,5686,5.22,4.213726658,5.991620112,0.752752432,1.6490458,0.14,0.1659176,927.641,1,25.524,0.196797865,5,5,65,13,22,12,8,Pastos
19,19110,4.97,5.60227554,20.37709497,2.101433874,0.93661849,0.14,0.1130776,367.268,1,1,0.163442295,1,1,22.005,15,0,0,0,Aguacate
76,76001,4.6,4.172673909,20.51675978,2.028249609,1.97907454,0.14,0.2361948,277.123,4.175,7.692,0.163442295,3,3,90,30,29,16,20,Frutales
25,25843,5,11.69498654,225.9776536,0.355466426,12.35993862,0.86972641,3.2803072,2700.565,7.364,154.644,0.563709139,0,0,0,0,0,0,0,Pastos
25,25843,5.35,10.71213542,73.88268156,0.209097898,10.69585159,0.58495297,1.389692,1598.772,5.706,99.939,0.430286858,0,0,0,0,0,0,0,Pastos
25,25286,5.3,11.02102114,59.2877095,0.501834955,7.43080678,0.40161093,1.2581204,565.477,7.036,6.97,0.530353569,110,110,3.3,30,23,14,0,Forestal
5,5368,5.48,12.74040689,6.270949721,0.209097898,1.06869586,0.14,0.1976216,198.231,2.554,2.436,0.163442295,0,0,0,0,0,0,0,Aguacate
17,20750,5.33,5.747167597,2.779329609,1.766877237,0.91466049,0.1071728,0.1722584,343.145,1.299,5.372,0.18012008,0,0,0,0,0,0,0,Pastos
85,85010,5.15,1.373907498,2.779329609,0.556537867,1.23272212,0.14,0.1321,87.613,1,2.837,0.065681445,216,216,3.24,15,0,0,10,Frutales
25,25335,5.22,6.574248981,3.058659218,2.677682191,1.21888858,0.14,0.110964,770.616,1,3.762,0.065681445,5,5,10,2,30,21,17,Frutales
50,50573,4.98,2.207924528,3.477653631,1.5961086,0.87744168,0.14,0.06605,62.182,1,1,0.065681445,0,0,0,0,35,25,16,Frutales
50,50573,4.67,3.072926711,3.477653631,2.761687907,0.81409285,0.14,0.0808452,340.868,1,1,0.106732348,0,0,0,0,35,25,16,Frutales
50,50573,4.8,2.982553349,3.198324022,2.383662186,1.20648231,0.14,0.0993392,88.568,1,1,0.1272578,0,0,0,0,35,25,16,Frutales
50,50573,4.76,2.277641122,3.477653631,2.100142895,0.98613378,0.14,0.0697488,60.718,1,1,0.065681445,0,0,0,0,35,25,16,Frutales
50,50573,5.08,2.151118414,3.617318436,1.344091453,1.09768042,0.14,0.0718624,62.185,1,1,0.086206897,0,0,0,0,35,25,16,Frutales
50,50573,4.83,2.107222781,3.337988827,1.932131463,1.12523771,0.14,0.0760896,82.973,1,1,0.086206897,0,0,0,0,35,25,16,Frutales
50,50573,5.1,2.437731078,3.198324022,1.228583594,1.71744497,0.14,0.1231172,58.774,1,1,0.065681445,0,0,0,0,35,25,16,Frutales
50,50573,5.44,2.499701384,3.75698324,0.766552157,1.87444467,0.14,0.081902,63.915,1,1,0.106732348,0,0,0,0,35,25,16,Frutales
50,50573,3.98,2.711433261,29.95810056,2.425665044,1.49435169,0.34687625,2.1812352,59.013,1,2.539,0.1272578,0,0,0,0,35,25,16,Frutales
50,50573,5.04,1.554654222,2.779329609,1.512102884,0.91597797,0.14,0.0602376,35.324,1,1,0.086206897,0,0,0,0,35,25,16,Frutales
50,50573,4.98,1.761221908,3.198324022,1.323090024,0.9145507,0.14,0.0544252,59.109,1,1,0.086206897,0,0,0,0,35,25,16,Frutales
50,50573,4.91,2.347357716,3.477653631,2.194649325,0.93244647,0.14,0.0919416,91.163,1,1.088,0.065681445,0,0,0,0,35,25,16,Frutales
50,50573,4.89,2.14079003,3.75698324,1.80612289,0.96000376,0.14,0.0676352,75.364,1,1.139,0.086206897,0,0,0,0,35,25,16,Frutales
50,50573,5.4,1.446206187,3.617318436,0.514535009,1.04399311,0.14,0.0961688,55.204,1,1,0.106732348,0,0,0,0,35,25,16,Frutales
50,50573,4.88,0.94527955,3.617318436,0.49353358,1.04816513,0.14,0.121532,28.486,1,1,0.086206897,0,0,0,0,35,25,16,Frutales
50,50573,4.84,2.120133262,3.198324022,2.331158614,1.28223741,0.14,0.0681636,58.452,1,1,0.086206897,0,0,0,0,35,25,16,Aguacate
50,50573,4.88,2.726925838,3.477653631,1.333590738,1.66507514,0.14,0.1410828,95.14,1,1,0.250410509,0,0,0,0,35,25,16,Cacao
50,50573,4.82,1.885162519,3.75698324,1.911130034,0.98613378,0.14,0.0649932,59.661,1,1,0.065681445,0,0,0,0,35,25,16,Frutales
